diagonal_blocks/0/block/0,diagonal_blocks/0/block/1,diagonal_blocks/0/block/2,diagonal_blocks/0/block/3,diagonal_blocks/0/block/4,diagonal_blocks/0/block/5,diagonal_blocks/0/block/6,diagonal_blocks/0/block/7,diagonal_blocks/0/block/8,diagonal_blocks/0/block/9,diagonal_blocks/0/block/10,diagonal_blocks/0/block/11,diagonal_blocks/0/block/12,diagonal_blocks/0/block/13,diagonal_blocks/0/block/14,diagonal_blocks/0/block/15,diagonal_blocks/0/block/16,diagonal_blocks/0/block/17,diagonal_blocks/0/block/18,diagonal_blocks/0/block/19,diagonal_blocks/0/block/20,diagonal_blocks/0/block_idx,linear_iterations,newton_iteration,newton_residual/angular,newton_residual/linear,preconditioner,rhs/0,rhs/1,rhs/2,rhs/3,rhs/4,rhs/5,solution/0,solution/1,solution/2,solution/3,solution/4,solution/5,stage,status,system_size,relative_residuals/0,relative_residuals/1,relative_residuals/2,relative_residuals/3,relative_residuals/4
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499208,1.476615,0,0,0,-0.2335935,0.441471,9.656097,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,position,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499212,1.476615,0,0,0,-0.2335935,0.4414715,9.656097,0,0,0,0.000006859967,0.00000114802,100,0.000001493107,0.000006103516,-0.00000192991,-0.00005081318,4.481637e-8,-0.00003927005,0,0,0,0,0,0,velocity,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499212,1.476615,0,0,0,-0.2335935,0.4414715,9.656097,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,position,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499216,1.476615,0,0,0,-0.2335935,0.4414721,9.656097,0,4,0,0.00001456786,0.00000114802,100,0.000001493107,0.000006103516,-0.00000192991,-0.0001079072,9.551695e-8,-0.00008339396,2.607739e-7,0.000001065991,-3.370624e-7,-0.00001152143,-2.086091e-10,-0.000008915113,velocity,Success,6,1,0.0187022,0.0004975174,0.00006608509,1.620088e-8
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499216,1.476615,0,0,0,-0.2335935,0.4414721,9.656097,0,0,1,1.042154e-12,6.355288e-14,100,1.627335e-13,0,-3.25467e-13,8.496422e-12,2.195817e-13,4.27941e-12,0,0,0,0,0,0,velocity,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499216,1.476615,0,0,0,-0.2335935,0.4414721,9.656097,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,position,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499208,1.476615,0,0,0,-0.2335935,0.441471,9.656097,0,0,0,8.332725e-9,0.000001517877,100,-0.000001866557,-0.000008138021,0.000002412439,6.166495e-8,1.517433e-10,4.775539e-8,0,0,0,0,0,0,velocity,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499208,1.476615,0,0,0,-0.2335935,0.441471,9.656097,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,position,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.34992,1.476615,0,0,0,-0.2335935,0.4414699,9.656097,0,0,0,0.000006358712,0.000001517877,100,-0.000001866557,-0.000008138021,0.000002412439,0.0000471003,-4.161961e-8,0.00003640058,0,0,0,0,0,0,velocity,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.34992,1.476615,0,0,0,-0.2335935,0.4414699,9.656097,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,position,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499192,1.476614,0,0,0,-0.2335935,0.4414688,9.656097,0,4,0,0.00001756699,0.000001517877,100,-0.000001866557,-0.000008138021,0.000002412439,0.0001301224,-1.153467e-7,0.0001005625,-3.259977e-7,-0.000001421321,4.213369e-7,0.00001389338,1.398521e-10,0.00001075049,velocity,Success,6,1,0.02049695,0.000497489,0.00006554314,2.153381e-8
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499192,1.476614,0,0,0,-0.2335935,0.4414688,9.656097,0,0,1,1.287368e-12,1.136868e-13,100,0,6.50934e-13,0,-8.489097e-12,-2.99622e-15,-8.54572e-12,0,0,0,0,0,0,velocity,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499192,1.476614,0,0,0,-0.2335935,0.4414688,9.656097,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,position,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499198,1.476614,0,0,0,-0.2335935,0.4414697,9.656097,0,0,0,6.68128e-9,0.000001559601,100,0.000002249576,0.000008138021,-0.000002907368,-4.945351e-8,-9.375634e-11,-3.828282e-8,0,0,0,0,0,0,velocity,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499198,1.476614,0,0,0,-0.2335935,0.4414697,9.656097,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,position,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499205,1.476615,0,0,0,-0.2335935,0.4414705,9.656097,0,0,0,6.68128e-9,0.000001559601,100,0.000002249576,0.000008138021,-0.000002907368,-4.94535e-8,-9.376511e-11,-3.828282e-8,0,0,0,0,0,0,velocity,Incomplete,6,,,,,
